, movie, drug, place, company, person
movie, 551, 80, 32, 28, 67
drug, 66, 493, 24, 15, 22
place, 96, 40, 230, 13, 44
company, 22, 9, 0, 303, 8
person, 107, 16, 16, 5, 338
