, movie, drug, place, company, person
movie, 514, 71, 47, 43, 83
drug, 88, 344, 119, 54, 15
place, 62, 34, 271, 14, 42
company, 43, 18, 2, 241, 38
person, 154, 26, 16, 33, 253
