, movie, drug, place, company, person
movie, 680, 34, 9, 13, 22
drug, 67, 526, 5, 9, 13
place, 147, 33, 198, 6, 39
company, 32, 4, 1, 301, 4
person, 104, 6, 8, 2, 362
