, movie, drug, place, company, person
movie, 657, 33, 16, 20, 32
drug, 61, 528, 5, 13, 13
place, 112, 30, 225, 13, 43
company, 24, 1, 0, 315, 2
person, 81, 8, 11, 2, 380
