, movie, drug, place, company, person
movie, 341, 106, 74, 60, 177
drug, 78, 149, 255, 55, 83
place, 63, 42, 253, 14, 51
company, 37, 46, 6, 213, 40
person, 137, 50, 18, 34, 243
