, movie, drug, place, company, person
movie, 515, 70, 46, 44, 83
drug, 92, 345, 114, 54, 15
place, 65, 36, 266, 14, 42
company, 44, 18, 2, 240, 38
person, 157, 27, 13, 33, 252
