, movie, drug, place, company, person
movie, 311, 118, 92, 65, 172
drug, 54, 309, 82, 40, 135
place, 71, 62, 212, 20, 58
company, 14, 18, 13, 270, 27
person, 73, 46, 69, 15, 279
