, movie, drug, place, company, person
movie, 440, 42, 164, 48, 64
drug, 38, 474, 63, 25, 20
place, 52, 28, 297, 12, 34
company, 5, 2, 15, 319, 1
person, 24, 11, 81, 8, 358
